Id,Name,Industry,Type,Phone,Website,NumberOfEmployees,AnnualRevenue,Description,Subscription_Tier__c,Modules_Purchased__c,Annual_Contract_Value__c,Contract_Renewal_Date__c,Health_Score__c,Platform_Usage_Index__c,CSAT_Average__c
ACC-001,Apex Digital Media,Media,Customer,+1-415-555-0101,https://apexdigitalmedia.com,520,85000000,Full-service digital media agency specialising in programmatic advertising and attribution.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,245000,2026-09-30,88,91,4.6
ACC-002,BlueSpark Analytics,Technology,Customer,+1-206-555-0102,https://bluesparkanalytics.com,210,42000000,Marketing analytics platform focused on B2B demand generation measurement.,Professional,Campaign Intelligence;Attribution Engine,78000,2026-07-31,74,77,4.1
ACC-003,ClearPath Marketing,Marketing,Customer,+1-512-555-0103,https://clearpathmarketing.io,85,18000000,Performance marketing agency serving mid-market SaaS companies.,Professional,Campaign Intelligence;Audience Studio,52000,2026-11-30,69,65,3.8
ACC-004,DeltaForce Demand,Technology,Customer,+1-617-555-0104,https://deltaforcededmand.com,340,67000000,ABM platform provider with deep Salesforce integration capabilities.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,195000,2026-08-31,82,85,4.4
ACC-005,Elevate Commerce,Retail,Customer,+1-312-555-0105,https://elevatecommerce.com,155,29000000,E-commerce growth consultancy running multi-channel campaigns.,Professional,Campaign Intelligence;Content Hub,63000,2027-01-31,71,68,3.9
ACC-006,Fieldstone Media Group,Media,Customer,+1-212-555-0106,https://fieldstonemediagroup.com,890,175000000,Largest independent media buying group on the East Coast.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,380000,2026-06-30,92,95,4.8
ACC-007,GrowthLab Ventures,Technology,Customer,+1-415-555-0107,https://growthlabventures.com,48,9500000,Series A SaaS startup running aggressive PLG experiments.,Starter,Campaign Intelligence,22000,2026-10-31,58,54,3.3
ACC-008,Harbour Point Digital,Consulting,Customer,+1-604-555-0108,https://harbourpointdigital.ca,120,22000000,Digital transformation consultancy for mid-market retail brands.,Professional,Campaign Intelligence;Attribution Engine,55000,2026-12-31,66,62,3.7
ACC-009,Indigo Signal Partners,Marketing,Customer,+1-720-555-0109,https://indigosignalpartners.com,67,14000000,Boutique demand gen agency with specialist B2B technology focus.,Starter,Campaign Intelligence;Audience Studio,28000,2027-02-28,62,58,3.5
ACC-010,Jetstream Analytics,Technology,Customer,+1-512-555-0110,https://jetstreamanalytics.io,290,55000000,Real-time marketing data warehouse connecting 50+ ad platforms.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,165000,2026-09-30,85,88,4.5
ACC-011,Kinetic Brand Studio,Marketing,Customer,+1-213-555-0111,https://kineticbrandstudio.com,42,8200000,Creative performance agency specialising in video and CTV campaigns.,Starter,Campaign Intelligence,19000,2026-11-30,55,50,3.2
ACC-012,Landmark Revenue,Technology,Customer,+1-415-555-0112,https://landmarkrevenue.com,410,82000000,Revenue intelligence platform for enterprise sales organisations.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,225000,2026-07-31,90,92,4.7
ACC-013,Mosaic Growth Partners,Consulting,Customer,+1-617-555-0113,https://mosaicgrowthpartners.com,95,19500000,Go-to-market consulting firm serving Series B and C software companies.,Professional,Campaign Intelligence;Audience Studio,58000,2027-01-31,70,66,3.9
ACC-014,NorthStar Demand Gen,Marketing,Customer,+1-206-555-0114,https://northstardemandgen.com,135,26000000,Full-funnel demand generation agency with Catalyst attribution expertise.,Professional,Campaign Intelligence;Attribution Engine;Content Hub,88000,2026-10-31,77,80,4.2
ACC-015,Orbit Media Labs,Technology,Customer,+1-512-555-0115,https://orbitmediaslab.com,175,34000000,Content intelligence platform powering editorial strategy for 200+ brands.,Professional,Campaign Intelligence;Content Hub,62000,2026-08-31,72,70,4.0
ACC-016,Prism Performance,Marketing,Customer,+1-312-555-0116,https://prismperformance.com,63,12500000,Paid search and social agency with a strong retail vertical practice.,Starter,Campaign Intelligence,21000,2027-03-31,60,56,3.4
ACC-017,Quantum Reach Media,Media,Customer,+1-212-555-0117,https://quantumreachmedia.com,560,110000000,Connected TV and streaming ad platform with national reach.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,310000,2026-06-30,87,90,4.6
ACC-018,Ratchet Growth,Technology,Customer,+1-415-555-0118,https://ratchetgrowth.com,88,17500000,PLG advisory firm helping SaaS companies instrument product-led funnels.,Professional,Campaign Intelligence;Audience Studio,48000,2026-12-31,65,61,3.7
ACC-019,Summit Digital Collective,Consulting,Customer,+1-720-555-0119,https://summitdigitalcollective.com,220,44000000,Digital agency collective with offices in 6 US cities.,Professional,Campaign Intelligence;Attribution Engine,72000,2027-02-28,73,75,4.1
ACC-020,Tidewater Marketing,Marketing,Customer,+1-757-555-0120,https://tidewatermarketing.com,78,15500000,Regional B2B marketing firm serving Mid-Atlantic manufacturing sector.,Starter,Campaign Intelligence,17000,2026-10-31,54,49,3.1
ACC-021,Uppercase Analytics,Technology,Customer,+1-206-555-0121,https://uppercaseanalytics.com,310,62000000,Customer data platform built natively on Snowflake and Salesforce.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,178000,2026-08-31,83,86,4.4
ACC-022,Velocity Revenue Partners,Technology,Customer,+1-617-555-0122,https://velocityrevenuepartners.com,145,28500000,Sales and marketing alignment consultancy with RevOps specialty.,Professional,Campaign Intelligence;Attribution Engine,65000,2027-01-31,68,64,3.8
ACC-023,Wavefront Media,Media,Customer,+1-213-555-0123,https://wavefrontmedia.io,195,38000000,Independent podcast advertising network with growing audience reach.,Professional,Campaign Intelligence;Audience Studio;Content Hub,95000,2026-09-30,76,78,4.2
ACC-024,Xcelerate Digital,Technology,Customer,+1-512-555-0124,https://xceleratedigital.com,390,78000000,Marketing cloud integrator specialising in Salesforce and HubSpot migrations.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,212000,2026-07-31,86,89,4.5
ACC-025,Yellowstone Campaigns,Marketing,Customer,+1-307-555-0125,https://yellowstonecampaigns.com,38,7400000,Boutique digital agency serving outdoor and lifestyle brands.,Starter,Campaign Intelligence,15000,2027-03-31,51,46,3.0
ACC-026,Zenith Conversion,Technology,Customer,+1-415-555-0126,https://zenithconversion.com,105,20500000,Conversion rate optimisation platform with A/B testing at scale.,Professional,Campaign Intelligence;Attribution Engine,56000,2026-11-30,67,63,3.8
ACC-027,Ardent Signal,Technology,Customer,+1-312-555-0127,https://ardentsignal.com,245,49000000,Intent data platform aggregating signals from 400M B2B buyer profiles.,Professional,Campaign Intelligence;Audience Studio;Attribution Engine,102000,2026-08-31,79,82,4.3
ACC-028,Brightfield Media,Media,Customer,+1-212-555-0128,https://brightfieldmedia.com,680,132000000,Premium publisher network spanning finance and technology verticals.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,355000,2026-06-30,91,93,4.8
ACC-029,Cascade Revenue,Technology,Customer,+1-206-555-0129,https://cascaderevenue.io,160,31500000,Pipeline velocity tool used by 350 mid-market B2B companies.,Professional,Campaign Intelligence;Attribution Engine,68000,2027-02-28,70,67,3.9
ACC-030,Driftwood Digital,Marketing,Customer,+1-813-555-0130,https://driftwooddigital.com,55,10800000,Full-service digital marketing agency for regional healthcare providers.,Starter,Campaign Intelligence;Audience Studio,26000,2026-10-31,59,55,3.3
ACC-031,Ember Analytics,Technology,Customer,+1-512-555-0131,https://emberanalytics.com,420,84000000,Marketing mix modelling platform for CPG and retail brands.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,238000,2026-09-30,89,91,4.7
ACC-032,Flare Demand,Marketing,Customer,+1-415-555-0132,https://flaredemand.com,72,14200000,ABM agency managing Catalyst campaigns for 40 enterprise clients.,Professional,Campaign Intelligence;Audience Studio,50000,2027-01-31,64,60,3.6
ACC-033,Gridline Growth,Technology,Customer,+1-617-555-0133,https://gridlinegrowth.com,190,37500000,Revenue operations software integrating CRM and marketing stack.,Professional,Campaign Intelligence;Attribution Engine;Content Hub,85000,2026-11-30,75,77,4.1
ACC-034,Harbour Analytics,Technology,Customer,+1-604-555-0134,https://harbouranalytics.ca,275,55000000,Attribution and media mix modelling for Canadian retail brands.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,158000,2026-07-31,81,84,4.3
ACC-035,Ironstone Media,Media,Customer,+1-312-555-0135,https://ironstonemedia.com,440,87000000,B2B trade media group publishing 12 industry-specific titles.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,272000,2026-08-31,84,87,4.5
ACC-036,Junction Digital,Marketing,Customer,+1-720-555-0136,https://junctiondigital.co,92,18200000,Integrated performance marketing agency serving SaaS growth-stage startups.,Professional,Campaign Intelligence;Audience Studio,53000,2027-03-31,66,62,3.7
ACC-037,Keystone Campaigns,Consulting,Customer,+1-215-555-0137,https://keystonecampaigns.com,58,11400000,Strategic marketing consultancy with a PPC and content specialism.,Starter,Campaign Intelligence,20000,2026-12-31,57,53,3.2
ACC-038,Lunar Signal,Technology,Customer,+1-206-555-0138,https://lunarsignal.io,330,66000000,Real-time bidding optimisation platform for programmatic display.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,188000,2026-09-30,83,86,4.4
ACC-039,Meridian Marketing,Marketing,Customer,+1-602-555-0139,https://meridianmarketing.com,115,22800000,Multi-channel marketing agency serving financial services brands.,Professional,Campaign Intelligence;Attribution Engine,60000,2027-02-28,69,65,3.8
ACC-040,Nautical Digital,Technology,Customer,+1-203-555-0140,https://nauticaldigital.com,180,35500000,Marketing technology consulting firm with Catalyst certified team.,Professional,Campaign Intelligence;Audience Studio;Content Hub,92000,2026-10-31,74,76,4.1
ACC-041,Onyx Growth Partners,Technology,Customer,+1-415-555-0141,https://onyxgrowthpartners.com,265,53000000,Growth-stage advisory firm deploying Catalyst for Series B clients.,Professional,Campaign Intelligence;Attribution Engine,76000,2026-08-31,72,74,4.0
ACC-042,Pinnacle Revenue Group,Consulting,Customer,+1-617-555-0142,https://pinnaclerevenue.com,125,24500000,B2B revenue consulting group with deep SaaS vertical expertise.,Professional,Campaign Intelligence;Audience Studio,57000,2027-01-31,68,63,3.8
ACC-043,Quicksilver Demand,Technology,Customer,+1-512-555-0143,https://quicksilverdemand.io,355,71000000,Demand generation automation platform integrating with Catalyst natively.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,205000,2026-07-31,88,90,4.6
ACC-044,Riverstone Analytics,Technology,Customer,+1-503-555-0144,https://riverstoneanal ytics.com,140,27500000,Customer journey analytics platform for subscription businesses.,Professional,Campaign Intelligence;Attribution Engine,64000,2026-11-30,70,68,3.9
ACC-045,Sandstorm Digital,Marketing,Customer,+1-702-555-0145,https://sandstormdigital.com,48,9300000,Performance marketing agency specialising in events and hospitality.,Starter,Campaign Intelligence,18000,2027-03-31,53,48,3.1
ACC-046,Tempest Media,Media,Customer,+1-212-555-0146,https://tempestmedia.com,730,145000000,National OOH and DOOH media owner with large national inventory.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,342000,2026-06-30,93,96,4.9
ACC-047,Undercurrent Digital,Technology,Customer,+1-206-555-0147,https://undercurrentdigital.com,96,19000000,Digital marketing agency with a Catalyst-first attribution practice.,Professional,Campaign Intelligence;Attribution Engine,54000,2026-12-31,67,64,3.8
ACC-048,Vanguard Analytics,Technology,Customer,+1-415-555-0148,https://vanguardanalytics.io,475,95000000,Enterprise marketing analytics platform serving Fortune 500 CMOs.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,285000,2026-09-30,90,92,4.7
ACC-049,Windward Growth,Marketing,Customer,+1-617-555-0149,https://windwardgrowth.com,82,16200000,Inbound and content marketing agency serving mid-market technology companies.,Professional,Campaign Intelligence;Content Hub,46000,2027-02-28,63,60,3.6
ACC-050,Zenon Media Partners,Media,Customer,+1-312-555-0150,https://zenonmediapartners.com,310,62000000,Independent media planning and buying agency with $200M in annual billings.,Enterprise,Campaign Intelligence;Audience Studio;Attribution Engine;Content Hub,175000,2026-08-31,80,83,4.3
