Id,AccountId,Name,RecordTypeId,StageName,CloseDate,Amount,Probability,LeadSource,NextStep,Description
OPP-001,ACC-001,Apex Digital — Campaign Intelligence Enterprise,New_Business,Closed Won,2025-09-30,185000,100,Campaign Intelligence Demo,Signed — onboarding scheduled,Annual Campaign Intelligence licence with Attribution Engine add-on.
OPP-002,ACC-001,Apex Digital — Audience Studio Expansion,Renewal,Closed Won,2025-11-15,62000,100,Campaign Intelligence Demo,Signed — renewal processed,Seat expansion and Audience Studio add-on for Q4 campaign season.
OPP-003,ACC-002,BlueSpark — Attribution Engine Platform,New_Business,Closed Won,2025-10-31,78000,100,Attribution Engine Webinar,Signed,Full Attribution Engine licence for 3 marketing users.
OPP-004,ACC-002,BlueSpark — 2026 Renewal,Renewal,Proposal/Price Quote,2026-03-31,82000,75,Attribution Engine Webinar,Send renewal proposal,Annual renewal including 12% uplift for additional seats.
OPP-005,ACC-003,ClearPath — Starter Package,New_Business,Closed Won,2025-08-15,24000,100,Audience Studio Trial,Signed,Starter tier licence for 2 marketing users.
OPP-006,ACC-003,ClearPath — Professional Upgrade,Renewal,Needs Analysis,2026-04-30,45000,40,Audience Studio Trial,Conduct needs assessment call,Upgrade opportunity following Starter tier satisfaction survey.
OPP-007,ACC-004,DeltaForce — Enterprise Full Platform,New_Business,Closed Won,2025-07-31,245000,100,Campaign Intelligence Demo,Signed — fully deployed,All 4 modules plus priority support SLA.
OPP-008,ACC-004,DeltaForce — 2026 Renewal + Expansion,Renewal,Qualification,2026-06-30,265000,60,Campaign Intelligence Demo,Discovery call scheduled,Renewal plus Content Hub expansion for new content team.
OPP-009,ACC-005,Elevate Commerce — Starter Licence,New_Business,Closed Won,2025-09-15,18000,100,Content Hub Referral,Signed,Content Hub Starter for e-commerce team.
OPP-010,ACC-005,Elevate Commerce — 2026 Renewal,Renewal,Prospecting,2026-09-15,19800,20,Content Hub Referral,Renewal reminder sent,Standard annual renewal at 10% uplift.
OPP-011,ACC-006,Fieldstone — Enterprise Platform Deal,New_Business,Closed Won,2025-06-30,425000,100,Campaign Intelligence Demo,Signed — largest Q2 deal,Flagship deal covering all 5 offices and 15 licences.
OPP-012,ACC-006,Fieldstone — Multi-Year Renewal,Renewal,Negotiation/Review,2026-05-31,890000,85,Campaign Intelligence Demo,Legal reviewing 3-year MSA,3-year renewal with volume discount and guaranteed SLA.
OPP-013,ACC-007,GrowthLab — Starter Onboarding,New_Business,Closed Won,2025-11-01,12000,100,Audience Studio Trial,Signed,Audience Studio Starter for seed-stage PLG experiments.
OPP-014,ACC-007,GrowthLab — Series A Expansion,New_Business,Value Proposition,2026-06-30,35000,50,Audience Studio Trial,Send ROI case study,Post Series A upgrade to Professional with additional modules.
OPP-015,ACC-008,Harbour Point — Professional Package,New_Business,Closed Won,2025-10-15,65000,100,Attribution Engine Webinar,Signed,Attribution Engine Professional for 4 client teams.
