Id,AccountId,ContactId,RecordTypeId,Subject,Status,Priority,Origin,Type,Description
CASE-001,ACC-001,CON-002,Technical_Support,Attribution data not reflecting last-click conversions,Working,High,Portal,Problem,Campaign Intelligence attribution engine showing inconsistent last-click data for Google Ads campaigns. Discrepancy of ~18% vs platform reporting.
CASE-002,ACC-001,CON-003,Technical_Support,API rate limit errors during bulk export,New,Medium,Email,Problem,Bulk export job fails at ~50K row mark with 429 rate limit error. Affects nightly data warehouse sync.
CASE-003,ACC-002,CON-006,Technical_Support,Audience segment not syncing to LinkedIn,Working,High,Portal,Problem,Audience Studio segment created yesterday not appearing in LinkedIn Campaign Manager after 24hrs.
CASE-004,ACC-002,CON-007,General_Enquiry,How to set up custom attribution windows,New,Low,Email,Question,Need guidance on configuring 90-day attribution window for enterprise B2B sales cycle.
CASE-005,ACC-003,CON-009,Onboarding,Onboarding checklist — CRM integration step,Working,Medium,Portal,Other,Stuck on Step 4 of the Salesforce integration setup. OAuth callback not completing.
CASE-006,ACC-004,CON-014,Technical_Support,Campaign Intelligence dashboard loading slowly,Closed,Low,Portal,Performance,Dashboard with 6 widgets taking 18+ seconds to load. Confirmed on Chrome and Firefox.
CASE-007,ACC-004,CON-015,Feature_Request,Request: bulk tagging of historical campaigns,Closed,Low,Portal,Enhancement,Feature request to apply tags to historical campaigns in bulk rather than one at a time.
CASE-008,ACC-005,CON-017,General_Enquiry,Question about adding a second user,New,Low,Email,Question,How do I invite a new team member to the account? Cannot find the user management screen.
CASE-009,ACC-006,CON-022,Technical_Support,Ad operation pixel not firing on checkout page,Working,Critical,Phone,Problem,Catalyst tracking pixel confirmed not firing on the /checkout page. Revenue attribution missing.
CASE-010,ACC-006,CON-023,Technical_Support,Custom dashboard export to PDF broken,Working,High,Portal,Problem,Export to PDF function returning blank PDF for dashboards with more than 4 widgets.
CASE-011,ACC-007,CON-026,Onboarding,Initial setup — data connector configuration,Closed,Medium,Email,Other,Needed help configuring the Segment.io data connector during initial onboarding.
CASE-012,ACC-007,CON-027,General_Enquiry,Difference between attribution models explained,Closed,Low,Portal,Question,Asked for comparison of linear vs data-driven attribution for PLG use case.
CASE-013,ACC-008,CON-030,General_Enquiry,How to share reports with clients,New,Low,Email,Question,Need to understand the client reporting portal and how to generate white-label PDF reports.
CASE-014,ACC-009,CON-033,Feature_Request,Request: CSV export for raw event data,New,Medium,Portal,Enhancement,Need ability to export raw event stream data to CSV for offline analysis.
CASE-015,ACC-010,CON-037,Technical_Support,Data pipeline latency spike — 6hr delay,Escalated,Critical,Phone,Problem,Real-time pipeline showing 6-hour delay since 08:00 UTC. Affects live dashboard reporting.
CASE-016,ACC-010,CON-038,General_Enquiry,Professional services — custom integration scoping,Working,Medium,Phone,Other,Scoping PS engagement for custom Databricks integration. Needs architecture review.
CASE-017,ACC-011,CON-041,General_Enquiry,How to configure CTV attribution,New,Low,Portal,Question,Looking for documentation on CTV attribution setup for streaming campaigns.
CASE-018,ACC-012,CON-045,Technical_Support,Attribution not matching GA4 data,Working,High,Portal,Problem,30% discrepancy between Catalyst conversion count and GA4 conversions for same campaign period.
CASE-019,ACC-012,CON-046,Feature_Request,Request: Slack notification for pipeline alerts,New,Low,Portal,Enhancement,Feature request to send pipeline status alerts to Slack channel.
CASE-020,ACC-013,CON-049,General_Enquiry,Attribution window best practices for B2B,Closed,Low,Email,Question,Requested guidance on attribution windows for 6-12 month enterprise sales cycles.
CASE-021,ACC-014,CON-053,Technical_Support,Demand gen campaign not tracking form fills,Closed,High,Portal,Problem,HubSpot form fill events not appearing in Catalyst event stream for specific landing page.
CASE-022,ACC-014,CON-054,Onboarding,New user onboarding — connecting data sources,Working,Medium,Email,Other,Help needed connecting Marketo and Salesforce as data sources during initial setup.
CASE-023,ACC-015,CON-057,Technical_Support,Content performance metrics missing from dashboard,Working,Medium,Portal,Problem,Content Hub metrics not populating in the main analytics dashboard after last platform update.
CASE-024,ACC-015,CON-058,Feature_Request,Request: Scheduled report delivery by email,Closed,Low,Portal,Enhancement,Request to schedule weekly reports for automated email delivery to stakeholders.
CASE-025,ACC-016,CON-061,General_Enquiry,How to create a custom audience segment,Closed,Low,Email,Question,Needed step-by-step guide on creating first Audience Studio segment.
CASE-026,ACC-017,CON-065,Technical_Support,CTV impression data gap — 72hr period,Escalated,Critical,Phone,Problem,72-hour gap in CTV impression data between 15-17 Nov. Revenue impact estimated at $450K.
CASE-027,ACC-017,CON-067,Technical_Support,Dashboard widget not loading — Attribution Engine,Working,High,Portal,Problem,Multi-touch attribution funnel widget returns spinner indefinitely for campaigns > 500K impressions.
CASE-028,ACC-018,CON-069,Onboarding,Initial setup — event tracking implementation,Closed,Medium,Email,Other,Needed guidance implementing JavaScript event tracking during trial onboarding.
CASE-029,ACC-019,CON-073,Technical_Support,Multi-office data separation not working,Working,High,Portal,Problem,Data from Denver and Chicago offices appearing in each other's reporting views despite workspace separation setup.
CASE-030,ACC-019,CON-075,Feature_Request,Request: Custom branding on client reports,Closed,Medium,Portal,Enhancement,Request for white-label client report templates with custom logo and colour palette.
CASE-031,ACC-020,CON-077,General_Enquiry,How to upgrade subscription tier,Closed,Low,Phone,Question,Asked how to request a tier upgrade from Starter to Professional.
CASE-032,ACC-021,CON-081,Technical_Support,Snowflake data sync failing nightly,Escalated,Critical,Portal,Problem,Nightly Snowflake sync job failing since platform upgrade on 2 Mar. Error: schema mismatch.
CASE-033,ACC-021,CON-083,Technical_Support,User permissions — read-only access not working,Working,Medium,Portal,Problem,Users assigned read-only role can still edit campaigns. Permissions not enforcing correctly.
CASE-034,ACC-022,CON-085,General_Enquiry,How to interpret multi-touch attribution report,Closed,Low,Email,Question,Needed explanation of the path-to-conversion report columns and weighting methodology.
CASE-035,ACC-023,CON-089,Technical_Support,Podcast attribution pixel not integrating with host,Working,High,Portal,Problem,Tracking pixel for podcast ad reads not compatible with Transistor.fm hosting platform.
CASE-036,ACC-023,CON-090,Feature_Request,Request: Podcast-specific attribution model,New,Medium,Portal,Enhancement,Feature request for a podcast-native attribution model that handles dynamic ad insertion.
CASE-037,ACC-024,CON-093,Technical_Support,Salesforce field mapping broken after org update,Closed,High,Phone,Problem,Catalyst-Salesforce connector stopped syncing Opportunity data after Salesforce Spring release.
CASE-038,ACC-024,CON-094,Onboarding,HubSpot migration support — data mapping,Working,Medium,Email,Other,Migrating client from HubSpot to Salesforce — need help with Catalyst data connector remapping.
CASE-039,ACC-025,CON-097,General_Enquiry,Which plan includes multi-channel attribution,Closed,Low,Email,Question,Asked which subscription tier includes multi-channel attribution vs last-click only.
CASE-040,ACC-026,CON-101,Technical_Support,A/B test data not splitting evenly,Working,Medium,Portal,Problem,Content Hub A/B test shows 70/30 traffic split despite equal configuration. Statistically significant skew.
CASE-041,ACC-027,CON-105,Technical_Support,Intent data signals delayed by 48 hours,Escalated,Critical,Portal,Problem,Intent signal feed showing consistent 48-hour delay since integration upgrade on 28 Feb.
CASE-042,ACC-027,CON-106,Feature_Request,Request: Custom intent signal categories,Working,Medium,Portal,Enhancement,Feature request to define custom intent signal categories beyond the 12 preset verticals.
CASE-043,ACC-028,CON-109,Technical_Support,Premium publisher data not reconciling with DFP,Working,High,Portal,Problem,Catalyst attribution not matching DoubleClick For Publishers reporting by 22%. Investigation needed.
CASE-044,ACC-028,CON-110,Technical_Support,Dashboard access for 3 new finance users,Closed,Low,Phone,Other,Needed finance team members added to reporting-only access in correct workspace.
CASE-045,ACC-029,CON-113,Technical_Support,Pipeline velocity metrics not updating in real-time,Working,High,Portal,Problem,Pipeline Velocity dashboard widget freezing at last manually refreshed state rather than auto-updating.
CASE-046,ACC-029,CON-114,Onboarding,Onboarding — RevOps data model setup,Closed,Medium,Email,Other,Help configuring the RevOps data model during initial onboarding — Salesforce Opportunity mapping.
CASE-047,ACC-030,CON-117,Onboarding,Initial data connector — EMR health system API,Working,Medium,Phone,Other,Assistance needed connecting legacy healthcare EMR system to Catalyst via REST API.
CASE-048,ACC-030,CON-118,General_Enquiry,How to invite a partner agency to the account,Closed,Low,Email,Question,Question about adding external agency as a collaborator with restricted data access.
CASE-049,ACC-031,CON-121,Technical_Support,MMM model taking 6hrs to run,Working,High,Portal,Problem,Marketing mix model computation exceeding 6-hour timeout for large CPG data sets.
CASE-050,ACC-031,CON-122,Feature_Request,Request: Pre-built CPG attribution templates,New,Medium,Portal,Enhancement,Request for out-of-the-box CPG-specific attribution templates in the model library.
CASE-051,ACC-032,CON-125,Onboarding,Initial setup — first campaign tracking,Closed,Medium,Portal,Other,Needed help tracking first Google Ads campaign during trial period.
CASE-052,ACC-033,CON-129,Technical_Support,RevOps connector dropping records,Working,High,Portal,Problem,CRM sync dropping approximately 5% of Opportunity records during nightly sync. No error logged.
CASE-053,ACC-033,CON-130,General_Enquiry,How to build custom RevOps dashboards,Closed,Low,Email,Question,Needed guidance on building custom pipeline dashboards combining Catalyst and Salesforce data.
CASE-054,ACC-034,CON-133,Technical_Support,Canadian retail data residency compliance,Escalated,High,Phone,Problem,Data residency audit flagging US data centre processing for Canadian customer records. Requires architecture review.
CASE-055,ACC-034,CON-134,Feature_Request,Request: Canadian data centre option,Working,Medium,Portal,Enhancement,Formal feature request for Canadian data residency zone to support PIPEDA compliance.
CASE-056,ACC-035,CON-137,Technical_Support,Ad exchange data discrepancy across 8 publications,Working,High,Portal,Problem,Catalyst reporting showing consistent 15% under-count vs individual publication ad exchange reports.
CASE-057,ACC-035,CON-138,Onboarding,New publication onboarding — digital revenue team,Working,Medium,Email,Other,Onboarding 2 new digital titles to existing Catalyst account. Data connector setup needed.
CASE-058,ACC-036,CON-141,Technical_Support,Attribution model not accounting for long sales cycles,Closed,Medium,Portal,Problem,Standard 30-day attribution window missing B2B conversions with 90+ day cycles.
CASE-059,ACC-036,CON-142,General_Enquiry,How to configure extended attribution windows,Closed,Low,Email,Question,How to extend attribution lookback beyond the standard 30-day maximum.
CASE-060,ACC-037,CON-145,Onboarding,First campaign setup — PPC tracking integration,Closed,Low,Email,Other,Needed step-by-step help setting up Google Ads integration as first data source.
CASE-061,ACC-038,CON-149,Technical_Support,Bidding optimisation signals not passing to DSP,Escalated,Critical,Portal,Problem,Catalyst bidding signals not passing to The Trade Desk DSP. Revenue impact: estimated $120K/day.
